相変わらず,相[あい] 変[か]わらず,as before/usual,
苦痛,苦[く] 痛[つう],pain,
くっきり,くっきり,clearly,
ぐったり,ぐったり,dead-tired,
ぐっと,ぐっと,much,
くつろぐ,くつろぐ,to relax,
くどい,くどい,"long-winded, greasy, gaudy",
首にする,首[くび]にする,to fire from a job,
首になる,首[くび]になる,to be fired,
クマ,クマ,bear,
組み～,組[く]み～,combining/integrating ～,
組み合わせる,組[く]み 合[あ]わせる,to combine,
組み込む,組[く]み 込[こ]む,to integrate,
組み立て式,組[く]み 立[た]て 式[しき],"ready-to assemble, collapsible",
組み立てる,組[く]み 立[た]てる,"to assemble, to put together",
悔やむ,悔[く]やむ,to regret,
くよくよ,くよくよ,brooding over,
暮らしぶり,暮[く]らしぶり,way of life,
グラフ,グラフ,graph,
狂う,狂[くる]う,to go crazy/mad,
苦しみ,苦[くる]しみ,suffering,
苦しむ,苦[くる]しむ,to suffer,
くるむ,くるむ,to wrap,
クレーム,クレーム,to claim,
暮れる,暮[く]れる,to get dark,
黒字,黒[くろ] 字[じ],surplus,
加える,加[くわ]える,"to do (harm) to, to inflict ～ on",
詳しい,詳[くわ]しい,detailed,
加わる,加[くわ]わる,"to join, to participate",
訓練,訓[くん] 練[れん],training,
軽～,軽[けい]～,light/minor ～,
～計,～ 計[けい],～ metre/scale,
敬意,敬[けい] 意[い],respect,
経営,経[けい] 営[えい],management,
経営方針,経[けい] 営[えい] 方[ほう] 針[しん],management policy,
経過,経[けい] 過[か],passage,
警戒,警[けい] 戒[かい],"warning, caution",
景気,景[けい] 気[き],business climate/conditions,
契機,契[けい] 機[き],opportunity,
軽金属,軽[けい] 金[きん] 属[ぞく],light metal,
軽減,軽[けい] 減[げん],reduction,
敬語,敬[けい] 語[ご],honorific expression,
軽工業,軽[けい] 工[こう] 業[ぎょう],light industry,
経済危機,経[けい] 済[ざい] 危[き] 機[き],economic crisis,
計算,計[けい] 算[さん],calculation,
計算違い,計[けい] 算[さん] 違[ちが]い,miscalculation,
形式的,形[けい] 式[しき] 的[てき],formal,
携帯電話,携[けい] 帯[たい] 電[でん] 話[わ],mobile phone [cell phone],
携帯用,携[けい] 帯[たい] 用[よう],for portable use,
毛糸,毛[け] 糸[いと],wool,
芸能界,芸[げい] 能[のう] 界[かい],show business,
軽犯罪,軽[けい] 犯[はん] 罪[ざい],minor offence,
警備員,警[けい] 備[び] 員[いん],security guard,
～警報,～ 警[けい] 報[ほう],～ warning,
外科,外[げ] 科[か],surgery,
劇場,劇[げき] 場[じょう],theatre,
下車,下[げ] 車[しゃ],alighting,反.  乗[じょう] 車[しゃ]<br>boarding
下旬,下[げ] 旬[じゅん],last part of the month,
下水道,下[げ] 水[すい] 道[どう],"sewer, sewerage system",
削る,削[けず]る,"to plane, to shave, to sharpen",
けち,けち,stingy,
血圧,血[けつ] 圧[あつ],blood pressure,
血圧計,血[けつ] 圧[あつ] 計[けい],blood pressure gauge,
月給,月[げっ] 給[きゅう],monthly salary,
結局,結[けっ] 局[きょく],finally,
結構,結[けっ] 構[こう],quite,
結婚相手,結[けっ] 婚[こん] 相[あい] 手[て],marriage partner,
傑作,傑[けっ] 作[さく],masterpiece,
決して,決[けっ]して,"by no means, never",
月末,月[げつ] 末[まつ],end of the month,
けなす,けなす,to belittle,
険しい,険[けわ]しい,"steep, severe",
～券,～ 券[けん],～ ticket/pass,
現～,現[げん]～,present ～,
謙虚,謙[けん] 虚[きょ],modest,反.  生[なま] 意[い] 気[き]<br>cheeky
現金,現[げん] 金[きん],cash,
検索,検[けん] 索[さく],search,
原産,原[げん] 産[さん],origin,
現時点,現[げん] 時[じ] 点[てん],present moment,
研修,研[けん] 修[しゅう],training,
減少,減[げん] 少[しょう],decrease,反.  増[ぞう] 加[か]<br>increase
現状,現[げん] 状[じょう],present state,
建設業,建[けん] 設[せつ] 業[ぎょう],construction industry,
現代語,現[げん] 代[だい] 語[ご],modern language,
現代語訳,現[げん] 代[だい] 語[ご] 訳[やく],translation into modern language,
現代風,現[げん] 代[だい] 風[ふう],contemporary,
現段階,現[げん] 段[だん] 階[かい],current stage,
建築家,建[けん] 築[ちく] 家[か],architect,
建築士,建[けん] 築[ちく] 士[し],architect,
限定版,限[げん] 定[てい] 版[ばん],limited edition,
現場,現[げん] 場[ば],"scene (of a crime, accident, etc.)",
憲法,憲[けん] 法[ぽう],constitution,
権力,権[けん] 力[りょく],"power, authority",
小～,小[こ]～,small ～,
高～,高[こう]～,high ～,
好～,好[こう]～,good ～,
合意,合[ごう] 意[い],agreement,
強引,強[ごう] 引[いん],"aggressive, forceful",
好印象,好[こう] 印[いん] 象[しょう],good impression,
豪華,豪[ごう] 華[か],gorgeous,
後悔,後[こう] 悔[かい],regret,
公害,公[こう] 害[がい],pollution,
高学歴,高[こう] 学[がく] 歴[れき],higher education,
高カロリー,高[こう]カロリー,high calorie,
交換,交[こう] 換[かん],exchange,
高気圧,高[こう] 気[き] 圧[あつ],high atmospheric pressure,
好奇心,好[こう] 奇[き] 心[しん],curiosity,
高機能,高[こう] 機[き] 能[のう],high functioning,
公共政策,公[こう] 共[きょう] 政[せい] 策[さく],public policy,
航空券,航[こう] 空[くう] 券[けん],air ticket,
工芸,工[こう] 芸[げい],crafts,
高血圧,高[こう] 血[けつ] 圧[あつ],high blood pressure,
貢献,貢[こう] 献[けん],contribution,
広告費,広[こう] 告[こく] 費[ひ],advertising cost,
交際,交[こう] 際[さい],association,
交際費,交[こう] 際[さい] 費[ひ],social expenses,
子ウサギ,子[こ]ウサギ,baby rabbit,
講師,講[こう] 師[し],lecturer,
子牛,子[こ] 牛[うし],calf,
交渉,交[こう] 渉[しょう],negotiation,
向上,向[こう] 上[じょう],improvement,
降水量,降[こう] 水[すい] 量[りょう],amount of rainfall,
高性能,高[こう] 性[せい] 能[のう],high performance,
高速バス,高[こう] 速[そく]バス,express bus,
好対照,好[こう] 対[たい] 照[しょう],good contrast,
交通機関,交[こう] 通[つう] 機[き] 関[かん],"means of transportation, transport facilities",
交通事故,交[こう] 通[つう] 事[じ] 故[こ],traffic accident,
高度,高[こう] 度[ど],advanced,
強盗,強[ごう] 盗[とう],robber,
強盗事件,強[ごう] 盗[とう] 事[じ] 件[けん],robbery,
光熱費,光[こう] 熱[ねつ] 費[ひ],utility costs,
後輩,後[こう] 輩[はい],junior,
紅葉、紅葉,紅[こう] 葉[よう]、 紅葉[もみじ],autumn colour of leaves,
効率,効[こう] 率[りつ],efficiency,
高齢化,高[こう] 齢[れい] 化[か],ageing (of the population),
超える,超[こ]える,to exceed,
コーチ,コーチ,coach,
誤解,誤[ご] 解[かい],misunderstanding,
焦がす,焦[こ]がす,to burn,
国語,国[こく] 語[ご],national language,
国際欄,国[こく] 際[さい] 欄[らん],international column/section,
国際連合,国[こく] 際[さい] 連[れん] 合[ごう],United Nations,cf.  国[こく] 連[れん]<br>UN (abbr.)
国立大学,国[こく] 立[りつ] 大[だい] 学[がく],national university,反.  私[し] 立[りつ] 大[だい] 学[がく]<br>private university
焦げる,焦[こ]げる,to burn,
凍える,凍[こご]える,to freeze,
心が狭い,心[こころ]が 狭[せま]い,to be narrow-minded,
心が広い,心[こころ]が 広[ひろ]い,to be big-hearted,
心を痛める,心[こころ]を 痛[いた]める,to be pained,
心を込める,心[こころ]を 込[こ]める,to do whole-heartedly,
腰掛ける,腰[こし] 掛[か]ける,to sit,"反.  立[た]ち 上[あ]がる<br>to rise, to stand up"
こしょう,こしょう,pepper,
故人,故[こ] 人[じん],deceased,
個人～,個[こ] 人[じん]～,personal/individual ～,
個人競技,個[こ] 人[じん] 競[きょう] 技[ぎ],individual sports,
個人旅行,個[こ] 人[じん] 旅[りょ] 行[こう],individual travel,反.  団[だん] 体[たい] 旅[りょ] 行[こう]<br>group tour
コスト,コスト,cost,
国家,国[こっ] 家[か],"country, nation",
国会,国[こっ] 会[かい],"national assembly, the Diet",
小遣い帳,小[こ] 遣[づか]い 帳[ちょう],pocket money spending book,
こつこつ,こつこつ,steadily,
骨折,骨[こっ] 折[せつ],bone fracture,
古典,古[こ] 典[てん],classic,
古典的,古[こ] 典[てん] 的[てき],classical,
言葉遣い,言[こと] 葉[ば] 遣[づか]い,"wording, phrasing",
子ども扱い,子[こ]ども 扱[あつか]い,treating like a child,
子供連れ,子[こ] 供[ども] 連[づ]れ,accompanied by children,
好み,好[この]み,"liking, taste",反.  苦[にが] 手[て]<br>weak/poor at ～
コピー,コピー,copy,
（ご）夫妻,（ご） 夫[ふ] 妻[さい],husband and wife,
こぼす,こぼす,to spill,
こぼれる,こぼれる,to overflow,
コマーシャル,コマーシャル,commercial,
コミュニケーション,コミュニケーション,communication,
～込む,～ 込[こ]む,into,
小屋,小[こ] 屋[や],hut,
娯楽,娯[ご] 楽[らく],"amusement, entertainment",
娯楽番組,娯[ご] 楽[らく] 番[ばん] 組[ぐみ],entertainment programme,
殺し合う,殺[ころ]し 合[あ]う,to kill each other,
殺す,殺[ころ]す,to kill,
今～,今[こん]～,this ～,
今学期,今[こん] 学[がっ] 期[き],this term,
今後,今[こん] 後[ご],from now on,
混雑,混[こん] 雑[ざつ],congestion,
今シーズン,今[こん]シーズン,this season,
今世紀,今[こん] 世[せい] 紀[き],this century,
献立,献[こん] 立[だて],menu,
昆虫,昆[こん] 虫[ちゅう],insect,
コントロール,コントロール,control,
今年度,今[こん] 年[ねん] 度[ど],this financial [fiscal] year,
婚約,婚[こん] 約[やく],engagement,
混乱,混[こん] 乱[らん],confusion,
～差,～ 差[さ],difference between/in,
～さ,～さ,(used to turn adjectives into nouns),
再～,再[さい]～,re-,
最～,最[さい]～,most ～,
再インストール,再[さい]インストール,reinstall,
災害,災[さい] 害[がい],disaster,
在学中,在[ざい] 学[がく] 中[ちゅう],at school,
再起動,再[さい] 起[き] 動[どう],restart,
細菌,細[さい] 菌[きん],bacteria,
最高気温,最[さい] 高[こう] 気[き] 温[おん],highest temperature,
再三,再[さい] 三[さん],again and again,
財政的,財[ざい] 政[せい] 的[てき],financial,
最前列,最[さい] 前[ぜん] 列[れつ],front row,
最大,最[さい] 大[だい],biggest,
最低気温,最[さい] 低[てい] 気[き] 温[おん],lowest temperature,
採点,採[さい] 点[てん],scoring,
才能,才[さい] 能[のう],ability,
栽培,栽[さい] 培[ばい],cultivation,
再発防止,再[さい] 発[はつ] 防[ぼう] 止[し],prevention of recurrence,
裁判,裁[さい] 判[ばん],trial,
裁判官,裁[さい] 判[ばん] 官[かん],judge,
裁判所,裁[さい] 判[ばん] 所[しょ],courthouse,
裁縫,裁[さい] 縫[ほう],sewing,
再放送,再[さい] 放[ほう] 送[そう],"rebroadcast, repeat",
財務相,財[ざい] 務[む] 相[しょう],finance minister,
財務省,財[ざい] 務[む] 省[しょう],Ministry of Finance,
最優先,最[さい] 優[ゆう] 先[せん],highest priority,
最有力,最[さい] 有[ゆう] 力[りょく],most dominant,
栄える,栄[さか]える,to flourish,
探し回る,探[さが]し 回[まわ]る,to look around,
逆らう,逆[さか]らう,"to defy, to go against",
～先,～ 先[さき],(used to mean the other party),
詐欺,詐[さ] 欺[ぎ],fraud,
索引,索[さく] 引[いん],index,
削減,削[さく] 減[げん],reduction,
削除,削[さく] 除[じょ],deletion,
作成,作[さく] 成[せい],making,
作物,作[さく] 物[もつ],crop,
避ける,避[さ]ける,to avoid,
差し～,差[さ]し～,(emphatic or polite prefix),
差し押さえる,差[さ]し 押[お]さえる,to seize,
差しかかる,差[さ]しかかる,to approach,
差し出す,差[さ]し 出[だ]す,to hold out,
差し支えない,差[さ]し 支[つか]えない,having no objection,
差し引く,差[さ]し 引[ひ]く,to deduct,
刺身,刺[さし] 身[み],sashimi,
座席,座[ざ] 席[せき],seat,
定める,定[さだ]める,to enact,
撮影,撮[さつ] 影[えい],filming,
撮影所,撮[さつ] 影[えい] 所[じょ],studio,
作家,作[さっ] 家[か],writer,
さっさと,さっさと,quickly,
殺人事件,殺[さつ] 人[じん] 事[じ] 件[けん],murder case,
早速,早[さっ] 速[そく],immediately,
ざっと,ざっと,roughly,
さっぱり,さっぱり,"refreshing, completely",
砂漠,砂[さ] 漠[ばく],desert,
砂漠化,砂[さ] 漠[ばく] 化[か],desertification,
寂しさ,寂[さび]しさ,"sadness, loneliness",
作法,作[さ] 法[ほう],manners,
サポート,サポート,support,
サボる,サボる,to skip,
さます,さます,"to get sober, to wake up",
冷める,冷[さ]める,to cool,
さめる,さめる,to become sober,
更に,更[さら]に,further,
騒がしい,騒[さわ]がしい,noisy,
～産,～ 産[さん],"product of ～, -made",
産業別,産[さん] 業[ぎょう] 別[べつ],by industry,
参考～,参[さん] 考[こう]～,reference ～,
参考書,参[さん] 考[こう] 書[しょ],reference book,
参考文献,参[さん] 考[こう] 文[ぶん] 献[けん],reference literature,
産出量,産[さん] 出[しゅつ] 量[りょう],output,
三世代,三[さん] 世[せ] 代[だい],three generations,
三人姉妹,三[さん] 人[にん] 姉[し] 妹[まい],three sisters,
三人連れ,三[さん] 人[にん] 連[づ]れ,party of three,
サンプル,サンプル,sample,
～氏,～ 氏[し],Mr./Ms. ～,
～士,～ 士[し],"-er, person (in a profession)",
～師,～ 師[し],member (of a profession),
～児,～ 児[じ],～ child,
仕上がる,仕[し] 上[あ]がる,to be finished,
飼育,飼[し] 育[いく],breeding,
シーズン,シーズン,season,
強いる,強[し]いる,"to force, to thrust",
自営業,自[じ] 営[えい] 業[ぎょう],"family-operated business, self-employment",
塩辛い,塩[しお] 辛[から]い,salty,
時間割,時[じ] 間[かん] 割[わり],timetable,
～式,～ 式[しき],"～ ceremony, ～ style/system",
至急,至[し] 急[きゅう],urgent,
試供品,試[し] 供[きょう] 品[ひん],sample,
しきりに,しきりに,frequently,
資金,資[し] 金[きん],"funds, money",
～資源,～ 資[し] 源[げん],～ resources,
～事件,～ 事[じ] 件[けん],～ incident/case,
地獄,地[じ] 獄[ごく],hell,反.  天[てん] 国[ごく]<br>heaven
仕事仲間,仕[し] 事[ごと] 仲[なか] 間[ま],"workmate, colleague",
仕事ぶり,仕[し] 事[ごと]ぶり,"job performance, way of working",
資産,資[し] 産[さん],asset,
指示,指[し] 示[じ],"instructions, directions",
自習,自[じ] 習[しゅう],self-study,
市場,市[し] 場[じょう],market,
システム,システム,system,
静まる,静[しず]まる,to subside (vi.),
沈む,沈[しず]む,to sink,
静める,静[しず]める,to calm (vt.),
姿勢,姿[し] 勢[せい],posture,
事前,事[じ] 前[ぜん],in advance,
自然科学,自[し] 然[ぜん] 科[か] 学[がく],natural science,
自然環境,自[し] 然[ぜん] 環[かん] 境[きょう],natural environment,
自然破壊,自[し] 然[ぜん] 破[は] 壊[かい],destruction of nature,
自然保護,自[し] 然[ぜん] 保[ほ] 護[ご],nature conservation,
子孫,子[し] 孫[そん],descendant,反.  祖[そ] 先[せん]<br>ancestor
次第に,次[し] 第[だい]に,gradually,
従う,従[したが]う,to obey,反.  違[い] 反[はん]する<br>to violate
親しい,親[した]しい,close,
親しみ,親[した]しみ,familiarity,
親しむ,親[した]しむ,to be friendly,
質,質[しつ],quality,
実家,実[じっ] 家[か],family home,
失業,失[しつ] 業[ぎょう],unemployment,
失業率,失[しつ] 業[ぎょう] 率[りつ],unemployment rate,
じっくり,じっくり,carefully and deliberately,
実験,実[じっ] 験[けん],"experiment, test",
しつこい,しつこい,"persistent, stubborn",
実施,実[じっ] 施[し],implementation,
湿度,湿[しつ] 度[ど],humidity,
しっとり,しっとり,moist,
実に,実[じつ]に,truly,
執筆,執[しっ] 筆[ぴつ],writing,
失望,失[しつ] 望[ぼう],disappointment,
実用化,実[じつ] 用[よう] 化[か],practical application,
失恋,失[しつ] 恋[れん],broken heart,
指定,指[し] 定[てい],designation,
指導,指[し] 導[どう],guidance,
児童,児[じ] 童[どう],child,
次年度,次[じ] 年[ねん] 度[ど],next financial [fiscal] year,
支配,支[し] 配[はい],"control, rule",
芝居,芝[しば] 居[い],play,
しばしば,しばしば,often,
支払い,支[し] 払[はら]い,payment,
支払う,支[し] 払[はら]う,to pay,
縛る,縛[しば]る,"to tie, to restrict",
地盤,地[じ] 盤[ばん],"foundation, ground",
しびれる,しびれる,to become numb,
死亡事故,死[し] 亡[ぼう] 事[じ] 故[こ],fatal accident,
絞る,絞[しぼ]る,"to wring, to focus on ～",
搾る,搾[しぼ]る,to squeeze,
資本金,資[し] 本[ほん] 金[きん],capital,
しま模様,しま 模[も] 様[よう],stripped pattern,
自慢,自[じ] 慢[まん],pride,
地味,地[じ] 味[み],plain,"反.  派[は] 手[で]<br>colourful, showy"
染み込む,染[し]み 込[こ]む,"to permeate, to soak into",
しみじみ,しみじみ,deeply,
染みる,染[し]みる,"to soak, to pierce, to be deeply moved",
～しむ,～しむ,(turns adjectives into verbs),
じめじめ,じめじめ,gloomy,
～者,～ 者[しゃ],"～ person, -er",
ジャーナリスト,ジャーナリスト,journalist,
シャイ,シャイ,shy,
社会科学,社[しゃ] 会[かい] 科[か] 学[がく],social science,
しゃがむ,しゃがむ,"to squat, to crouch",
若干,若[じゃっ] 干[かん],"a bit, slightly",
借金,借[しゃっ] 金[きん],debt,
しゃっくり,しゃっくり,hiccup,
しゃぶる,しゃぶる,to suck,
しゃれ,しゃれ,"joke, pun",
ジャンル,ジャンル,"genre, field",
主～,主[しゅ]～,main/principal ～,
重～,重[じゅう]～,hard/heavy ～,
週明け,週[しゅう] 明[あ]け,beginning of the week,
周囲,周[しゅう] 囲[い],surrounding,
収穫量,収[しゅう] 穫[かく] 量[りょう],crop yield,
周期,周[しゅう] 期[き],"cycle, period",
重金属,重[じゅう] 金[きん] 属[ぞく],heavy metal,
重工業,重[じゅう] 工[こう] 業[ぎょう],heavy industry,
終始,終[しゅう] 始[し],from beginning to end,
重視,重[じゅう] 視[し],"emphasis, regard ～ as important",
収集,収[しゅう] 集[しゅう],collection,
就職,就[しゅう] 職[しょく],employment,
就職活動,就[しゅう] 職[しょく] 活[かつ] 動[どう],job hunting,
修正,修[しゅう] 正[せい],correction,
住宅街,住[じゅう] 宅[たく] 街[がい],residential area,
充電器,充[じゅう] 電[でん] 器[き],charger,
収入,収[しゅう] 入[にゅう],income,
就任,就[しゅう] 任[にん],"inauguration, taking up a post",
周辺,周[しゅう] 辺[へん],around,
住民団体,住[じゅう] 民[みん] 団[だん] 体[たい],residents' association,
重役,重[じゅう] 役[やく],executive,
従来,従[じゅう] 来[らい],conventional,
従来通り,従[じゅう] 来[らい] 通[どお]り,as usual,
修理,修[しゅう] 理[り],repair,
終了,終[しゅう] 了[りょう],finish,
重労働,重[じゅう] 労[ろう] 働[どう],hard labour,
縮小,縮[しゅく] 小[しょう],shrink,"反.  拡[かく] 大[だい]<br>enlargement, magnification"
宿泊,宿[しゅく] 泊[はく],lodging,反.  日[ひ] 帰[がえ]り<br>one-day trip
宿泊料,宿[しゅく] 泊[はく] 料[りょう],room charge,
主原料,主[しゅ] 原[げん] 料[りょう],main raw materials,
取材,取[しゅ] 材[ざい],news gathering,
主産地,主[しゅ] 産[さん] 地[ち],main production area,
首相,首[しゅ] 相[しょう],prime minister,
受賞,受[じゅ] 賞[しょう],prize winning,
受信,受[じゅ] 信[しん],reception,"反.  送[そう] 信[しん]<br>transmission, sending"
主成分,主[しゅ] 成[せい] 分[ぶん],principal component,
主張,主[しゅ] 張[ちょう],"assertion, insistence",
出荷,出[しゅっ] 荷[か],shipment,
出産費用,出[しゅっ] 産[さん] 費[ひ] 用[よう],delivery charges,
出場,出[しゅつ] 場[じょう],participation,
出生届,出[しゅっ] 生[しょう] 届[とどけ],birth registration,
出張,出[しゅっ] 張[ちょう],business trip,
首都,首[しゅ] 都[と],capital city,
首脳,首[しゅ] 脳[のう],leaders,
需要,需[じゅ] 要[よう],demand,
受話器,受[じゅ] 話[わ] 器[き],phone receiver,
純粋,純[じゅん] 粋[すい],pure,
順調,順[じゅん] 調[ちょう],smooth,
諸～,諸[しょ]～,various ～,
～所,～ 所[しょ],～ place/facility,
～署,～ 署[しょ],～ station,
少～,少[しょう]～,small ～,
～省,～ 省[しょう],Ministry of ～,
～相,～ 相[しょう],～ Minister,
～証,～ 証[しょう],～ membership card/licence,
～場,～ 場[じょう],～ place/area/field,
～状,～ 状[じょう],～ card/letter,
消化,消[しょう] 化[か],digestion,
消火器,消[しょう] 火[か] 器[き],fire extinguisher,
奨学金,奨[しょう] 学[がく] 金[きん],scholarship,
乗客,乗[じょう] 客[きゃく],passenger,
消去,消[しょう] 去[きょ],erasure,
消極的,消[しょう] 極[きょく] 的[てき],passive,"反.  積[せっ] 極[きょく] 的[てき]<br>positive, assertive"
賞金,賞[しょう] 金[きん],prize money,
衝撃的,衝[しょう] 撃[げき] 的[てき],shocking,
証言,証[しょう] 言[げん],testimony,
証拠,証[しょう] 拠[こ],evidence,
正午過ぎ,正[しょう] 午[ご] 過[す]ぎ,past noon,
詳細,詳[しょう] 細[さい],details,反.  大[おお]まか<br>rough
上司,上[じょう] 司[し],boss,反.  部[ぶ] 下[か]<br>subordinate
乗車,乗[じょう] 車[しゃ],boarding,反.  下[げ] 車[しゃ]<br>alighting
上旬,上[じょう] 旬[じゅん],first ten days of the month,
少々,少[しょう] 々[しょう],a little,
症状,症[しょう] 状[じょう],symptom,
上昇,上[じょう] 昇[しょう],rising,
使用済み,使[し] 用[よう] 済[ず]み,"used, spent",
承諾,承[しょう] 諾[だく],acceptance,
上達,上[じょう] 達[たつ],progress,
商店街,商[しょう] 店[てん] 街[がい],shopping street/area,
消毒,消[しょう] 毒[どく],disinfection,
衝突,衝[しょう] 突[とつ],collision,
勝敗,勝[しょう] 敗[はい],victory or defeat,
消費,消[しょう] 費[ひ],consumption,
消費者,消[しょう] 費[ひ] 者[しゃ],consumer,
商品,商[しょう] 品[ひん],"prize, trophy",
勝負,勝[しょう] 負[ぶ],game,
丈夫,丈[じょう] 夫[ぶ],"strong, solid",
情報,情[じょう] 報[ほう],information,
消防士,消[しょう] 防[ぼう] 士[し],fireman,
消防署,消[しょう] 防[ぼう] 署[しょ],fire station,
照明,照[しょう] 明[めい],proof,
条約,条[じょう] 約[やく],treaty,
しょう油,しょう 油[ゆ],soya sauce,
～職,～ 職[しょく],～ work,
職場,職[しょく] 場[ば],one's place of work,
植物,植[しょく] 物[ぶつ],"plant, vegetation",
植民地,植[しょく] 民[みん] 地[ち],colony,
食欲,食[しょく] 欲[よく],appetite,
食糧,食[しょく] 糧[りょう],"provisions, food",
助言,助[じょ] 言[げん],advice,
諸事情,諸[しょ] 事[じ] 情[じょう],various circumstances,
初旬,初[しょ] 旬[じゅん],first ten days of the month,
徐々に,徐[じょ] 々[じょ]に,steadily,
書籍,書[しょ] 籍[せき],book,
ショッキング,ショッキング,shocking,
少量,少[しょう] 量[りょう],small amount,
しょっちゅう,しょっちゅう,constantly,
しょっぱい,しょっぱい,salty,
ショッピング街,ショッピング 街[がい],shopping street/area,
庶民,庶[しょ] 民[みん],ordinary people,
白髪,白髪[しらが],grey hair,
知り合い,知[し]り 合[あ]い,acquaintance,
私立大学,私[し] 立[りつ] 大[だい] 学[がく],private university,反.  国[こく] 立[りつ] 大[だい] 学[がく]<br>national university
城,城[しろ],castle,
しわ,しわ,wrinkle,
新～,新[しん]～,new ～,
～心,～ 心[しん],～ spirit,
進化,進[しん] 化[か],evolution,反.  退[たい] 化[か]<br>degeneration
進学,進[しん] 学[がく],moving onto the next stage of education,
進学率,進[しん] 学[がく] 率[りつ],ratio of students going on to a higher stage of education,
新学期,新[しん] 学[がっ] 期[き],new school term,
人工的,人[じん] 工[こう] 的[てき],artificial,
深刻,深[しん] 刻[こく],serious,
深刻化,深[しん] 刻[こく] 化[か],becoming more serious,
診察,診[しん] 察[さつ],medical examination,
信じ込む,信[しん]じ 込[こ]む,to firmly believe,
真実,真[しん] 実[じつ],truth,
新商品,新[しん] 商[しょう] 品[ひん],new product,
申請,申[しん] 請[せい],application,
新製品,新[しん] 製[せい] 品[ひん],new product,
親戚,親[しん] 戚[せき],relative,
新鮮,新[しん] 鮮[せん],fresh,
新体制,新[しん] 体[たい] 制[せい],new system,
新大陸,新[しん] 大[たい] 陸[りく],new continent,
診断,診[しん] 断[だん],diagnosis,
慎重,慎[しん] 重[ちょう],careful,反. そそっかしい<br>careless
新年,新[しん] 年[ねん],New Year,
新年会,新[しん] 年[ねん] 会[かい],New Year party,
新年度,新[しん] 年[ねん] 度[ど],new financial [fiscal] year,
人物,人[じん] 物[ぶつ],"man, figure",
人物化学,人[じん] 物[ぶつ] 化[か] 学[がく],humanities,
進歩,進[しん] 歩[ぽ],progress,
深夜番組,深[しん] 夜[や] 番[ばん] 組[ぐみ],late-night TV show,
信用度,信[しん] 用[よう] 度[ど],credit worthiness,
心理,心[しん] 理[り],"state of mind, psychology",
心理的,心[しん] 理[り] 的[てき],psychological,
森林,森[しん] 林[りん],forest,
親類,親[しん] 類[るい],relative,
酢,酢[す],vinegar,
図,図[ず],"diagram, figure",
炊事,炊[すい] 事[じ],cooking,
随筆,随[ずい] 筆[ひつ],essay,
水平線,水[すい] 平[へい] 線[せん],horizon,
睡眠,睡[すい] 眠[みん],sleep,
睡眠不足,睡[すい] 眠[みん] 不[ぶ] 足[そく],lack of sleep,
ずうずうしい,ずうずうしい,"brazen-faced, shameless",
末っ子,末[すえ]っ 子[こ],youngest child,
杉,杉[すぎ],cedar,
好き嫌い,好[す]き 嫌[きら]い,likes and dislikes,
すくすく,すくすく,quickly,
優れる,優[すぐ]れる,to be excellent,
図形,図[ず] 形[けい],figure,
スケジュール,スケジュール,schedule,
少しも,少[すこ]しも,(not) at all/a bit,
過ごす,過[す]ごす,to pass,
涼む,涼[すず]む,to cool down,
勧める,勧[すす]める,"to encourage, to suggest",
頭痛,頭[ず] 痛[つう],headache,
ずっしり,ずっしり,heavily,
酸っぱい,酸[す]っぱい,sour,
ステージ,ステージ,stage,
既に,既[すで]に,already,
ストレス,ストレス,stress,
砂,砂[すな],sand,
ずばり,ずばり,frankly,
好き好き,好[す]き 好[ず]き,"matter of liking, taste",
スピード違反,スピード 違[い] 反[はん],speeding offence,
スペース,スペース,space,
すべて,すべて,all,
済まない,済[す]まない,to be sorry,
～済み,～ 済[ず]み,"finished ～, -ed",
スムーズ,スムーズ,smooth,
ずらりと,ずらりと,in a line,
鋭い,鋭[するど]い,"sharp, acute","反.  鈍[にぶ]い<br>blunt, thick-headed, dull"
すれ～,すれ～,pass ～,
すれすれ,すれすれ,"just barely, narrowly",
すれ違う,すれ 違[ちが]う,to pass each other,
すんなり,すんなり,smoothly,
正～,正[せい]～,regular/exact ～,
～性,～ 性[せい],"-ty, -ness",
～製,～ 製[せい],made of/in ～,
～制,～ 制[せい],～ system,
税,税[ぜい],tax,
正確,正[せい] 確[かく],accurate,反. でたらめ<br>nonsense
正確さ,正[せい] 確[かく]さ,accuracy,
税関,税[ぜい] 関[かん],customs,
～世紀,～ 世[せい] 紀[き],～ century,
税金,税[ぜい] 金[きん],tax,
清潔,清[せい] 潔[けつ],cleanliness,反.  不[ふ] 潔[けつ]<br>dirty
制限,制[せい] 限[げん],restriction,
制作,制[せい] 作[さく],production,
製作,製[せい] 作[さく],manufacture,
～政策,～ 政[せい] 策[さく],～ policy,
制作費,制[せい] 作[さく] 費[ひ],production cost,
生産,生[せい] 産[さん],production,
生産量,生[せい] 産[さん] 量[りょう],production volume/amount,
正式,正[せい] 式[しき],formally,
政治欄,政[せい] 治[じ] 欄[らん],political column,
成人,成[せい] 人[じん],adult,
成人式,成[せい] 人[じん] 式[しき],coming-of-age ceremony/celebration,
せいぜい,せいぜい,at the most,
成績,成[せい] 績[せき],academic result/record,
製造,製[せい] 造[ぞう],manufacturing,
製造業,製[せい] 造[ぞう] 業[ぎょう],manufacturing industry,
盛大,盛[せい] 大[だい],magnificent,
